artist,song,duration [min],release year,key_full,tempo [bpm],genre_primary,genre_raw
Default,Wasting My Time,4.4782166666666665,2001,D major,147.973,rock,"rock, pop, metal"
Michelle Branch,All You Wanted,3.628,2001,G# major,96.103,pop,"pop, Folk/Acoustic"
Daniel Bedingfield,If You're Not The One,4.283766666666667,2002,A# major,119.998,pop,pop
Enrique Iglesias,Escape,3.4771,2001,B major,125.972,pop,"pop, latin"
Puddle Of Mudd,Blurry,5.065333333333333,2001,D# minor,157.469,rock,"rock, metal"
Coldplay,In My Place,3.778,2002,A major,144.636,rock,"rock, pop"
Outkast,The Whole World (feat. Killer Mike),4.922433333333333,2001,D major,184.682,hip hop,"hip hop, pop"
P!nk,Don't Let Me Get Me - Radio Edit,3.51155,2001,C minor,98.525,pop,pop
50 Cent,In Da Club,3.2244333333333333,2003,F# minor,90.051,hip hop,"hip hop, pop"
Sean Paul,Get Busy,3.5277666666666665,2002,A# minor,100.202,hip hop,"hip hop, pop"
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",5.370433333333334,2004,D major,171.355,hip hop,hip hop
Beyoncé,Crazy In Love (feat. Jay-Z),3.93555,2003,D minor,99.165,pop,"pop, R&B"
Counting Crows,Big Yellow Taxi,3.7571,2003,G# major,88.029,rock,"rock, pop"
Black Eyed Peas,Where Is The Love?,4.542216666666667,2003,F major,94.059,hip hop,"hip hop, pop"
Jennifer Lopez,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,3.1306666666666665,2002,F# major,100.0,hip hop,"hip hop, pop, R&B"
Black Eyed Peas,Shut Up,4.9364333333333335,2003,D major,112.968,hip hop,"hip hop, pop"
t.A.T.u.,All The Things She Said,3.574,2020,F minor,179.92,pop,pop
Benny Benassi,Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz,4.7595,2003,B major,130.017,pop,"pop, Dance/Electronic"
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),5.4051,2002,F# major,85.996,hip hop,"hip hop, pop"
Panjabi MC,Mundian to Bach Ke,4.077766666666666,2003,G# minor,98.077,world/traditional,"World/Traditional, hip hop"
Mis-Teeq,Scandalous - U.S. Radio Edit,3.9806666666666666,2004,C minor,99.971,pop,"pop, Dance/Electronic"
JAY-Z,03' Bonnie & Clyde,3.426,2002,A minor,89.64,hip hop,hip hop
50 Cent,P.I.M.P.,4.158,2003,A# minor,84.722,hip hop,"hip hop, pop"
Jamelia,Superstar,3.5913333333333335,2003,C# major,110.01,pop,pop
Linkin Park,Faint,2.71,2003,E major,135.095,rock,"rock, metal"
DMX,X Gon' Give It To Ya,3.6264333333333334,2007,A# minor,95.027,hip hop,"hip hop, pop"
Evanescence,Bring Me To Life,3.93155,2003,E minor,94.612,metal,metal
Sugababes,Hole In The Head,3.636216666666667,2003,F# minor,125.011,pop,"pop, R&B"
Craig David,Rise & Fall (feat. Sting),4.7871,2002,F# minor,83.373,hip hop,"hip hop, pop, R&B"
Three Days Grace,I Hate Everything About You,3.858,2003,F# minor,89.342,rock,"rock, metal"
Lil Jon & The East Side Boyz,Get Low,5.41,2002,C# major,101.043,hip hop,"hip hop, pop"
B2K,"Bump, Bump, Bump (feat. P. Diddy)",4.712883333333333,2003,C# minor,95.508,hip hop,"hip hop, pop, R&B"
Baby Bash,Suga Suga,3.9837666666666665,2003,F minor,82.331,hip hop,"hip hop, pop, R&B, latin"
Aaliyah,Miss You - Main,4.0873333333333335,2002,A# major,109.598,hip hop,"hip hop, pop, R&B"
Britney Spears,Me Against the Music (feat. Madonna) - LP Version / Video Mix,3.72955,2003,F# minor,120.046,pop,pop
Blue,Sorry Seems To Be The Hardest Word,3.5011,2004,G minor,78.955,pop,pop
Delta Goodrem,Lost Without You,4.142433333333333,2003,G major,146.301,pop,pop
Justin Timberlake,Rock Your Body,4.454433333333333,2002,E minor,100.972,pop,pop
The White Stripes,Seven Nation Army,3.8653333333333335,2003,E minor,123.904,rock,"rock, blues"
Youngbloodz,Damn! (feat. Lil' Jon) - Club Mix,4.976666666666667,2003,F# minor,84.038,hip hop,"hip hop, pop"
Beyoncé,Baby Boy (feat. Sean Paul),4.080433333333334,2003,C# major,91.025,pop,"pop, R&B"
Lil' Kim,Magic Stick,5.99955,2019,D major,92.98,hip hop,"hip hop, pop, R&B"
Christina Aguilera,Can't Hold Us Down (feat. Lil' Kim),4.254433333333333,2002,G# major,98.989,pop,pop
Nickelback,Someday,3.4577666666666667,2003,B minor,163.118,rock,"rock, metal"
Blue,U Make Me Wanna - Radio Edit,3.7066666666666666,2003,G major,158.108,pop,pop
Ashanti,Rain On Me,4.966,2003,G# minor,83.701,hip hop,"hip hop, pop, R&B"
Trapt,Headstrong,4.759483333333334,2002,E minor,184.981,rock,"rock, metal"
Simply Red,Sunrise,3.3173333333333335,2008,F minor,105.987,rock,"rock, R&B, Folk/Acoustic, pop"
Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)",3.0817666666666668,2003,F# major,199.958,pop,"pop, R&B"
Girls Aloud,Sound Of The Underground,3.6904333333333335,2003,B major,163.944,pop,"pop, Dance/Electronic"
Nelly,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,4.894433333333334,2016,C# major,87.025,hip hop,"hip hop, pop, R&B"
Room 5,Make Luv,3.540216666666667,2003,C# major,124.814,dance/electronic,Dance/Electronic
Fatman Scoop,Be Faithful,2.7417666666666665,2009,G major,101.129,hip hop,hip hop
Limp Bizkit,Behind Blue Eyes,4.49955,2003,G major,120.315,metal,metal
Sugababes,Too Lost In You,3.96155,2003,C# minor,98.014,pop,"pop, R&B"
50 Cent,"Wanksta - From ""8 Mile"" Soundtrack",3.6566666666666667,2003,C# major,81.008,hip hop,"hip hop, pop"
Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,3.9417666666666666,2003,A minor,102.009,hip hop,"hip hop, pop"
Chingy,Right Thurr,4.1791,2003,D major,92.074,hip hop,"hip hop, pop, R&B"
Eminem,Sing For The Moment,5.6591,2002,F minor,163.961,hip hop,hip hop
Lil' Kim,The Jump Off (feat. Mr. Cheeks) - Remix,3.9133333333333336,2003,C# major,104.946,hip hop,"hip hop, pop, R&B"
Mýa,My Love Is Like...Wo - Main Mix,3.4922166666666667,2003,E major,132.817,pop,"pop, R&B"
50 Cent,21 Questions,3.740666666666667,2003,F# minor,92.729,hip hop,"hip hop, pop"
Nelly,Air Force Ones,5.066666666666666,2002,E minor,164.062,hip hop,"hip hop, pop, R&B"
Missy Elliott,Gossip Folks (feat. Ludacris),3.9148833333333335,2002,C major,121.732,hip hop,"hip hop, pop, R&B"
Girls Aloud,Jump,3.6726666666666667,2003,G# major,134.465,pop,"pop, Dance/Electronic"
Ultrabeat,Pretty Green Eyes - Radio Edit,3.3653333333333335,2003,C# minor,139.993,pop,"pop, Dance/Electronic"
Christina Aguilera,Fighter,4.099333333333333,2002,E minor,188.899,pop,pop
Frankie J,Don't Wanna Try,4.088216666666667,2003,F minor,130.127,hip hop,"hip hop, pop, R&B"
Snoop Dogg,Beautiful,4.985766666666667,2005,B minor,101.025,hip hop,"hip hop, pop"
Floetry,Say Yes,4.472883333333334,2002,F minor,117.901,hip hop,"hip hop, pop, R&B"
Ginuwine,In Those Jeans,4.0551,2003,C# major,127.683,hip hop,"hip hop, pop, R&B"
Electric Six,Danger! High Voltage - Soulchild Radio Mix,3.5766666666666667,2003,B minor,123.005,rock,rock
Rachel Stevens,Sweet Dreams My LA Ex - Radio Edit,3.4731,2003,D major,130.036,pop,"pop, Dance/Electronic"
Ludacris,Stand Up,3.562666666666667,2003,F# major,99.057,hip hop,"hip hop, pop"
Nas,I Can,4.228666666666666,2002,F# minor,95.313,hip hop,hip hop
3 Doors Down,When I'm Gone,4.338883333333333,2002,G major,148.095,pop,"pop, rock, metal"
Tyrese,How You Gonna Act Like That,4.91155,2002,D# minor,112.913,hip hop,"hip hop, pop, R&B"
Justin Timberlake,Cry Me a River,4.80555,2002,G# minor,73.898,pop,pop
Westlife,Mandy,3.322,2003,F major,105.678,pop,pop
No Doubt,It's My Life,3.76755,2003,G# minor,126.326,rock,"rock, pop"
Amanda Perez,Angel,3.646,2003,C major,143.772,pop,"pop, R&B"
JAY-Z,Excuse Me Miss,4.687333333333333,2002,F# major,92.849,hip hop,hip hop
Coldplay,Clocks,5.131316666666667,2002,F minor,130.97,rock,"rock, pop"
Kelly Rowland,Stole,4.154883333333333,2002,G minor,79.993,hip hop,"hip hop, pop, R&B"
Missy Elliott,Work It,4.3871,2002,C# major,101.868,hip hop,"hip hop, pop, R&B"
Ashanti,Rock Wit U (Awww Baby),3.485333333333333,2003,E minor,94.998,hip hop,"hip hop, pop, R&B"
Junior Senior,Move Your Feet,3.0304333333333333,2002,A major,118.877,pop,pop
Audioslave,Like a Stone,4.899333333333334,2002,G minor,107.849,rock,"rock, metal"
Sean Paul,Like Glue,3.8751,2002,C# major,97.917,hip hop,"hip hop, pop"
Jaheim,Put That Woman First,4.096216666666667,2002,F minor,78.935,pop,"pop, R&B"
Jennifer Lopez,All I Have (feat. LL Cool J),4.2411,2002,C# major,83.066,hip hop,"hip hop, pop, R&B"
Monica,So Gone,4.046216666666667,2003,G# major,81.975,pop,"pop, R&B"
Dido,White Flag,4.000666666666667,2003,F major,169.951,pop,pop
The Roots,The Seed (2.0),4.46555,2002,G major,111.121,hip hop,hip hop
Chingy,Holidae In,5.24,2003,G major,153.067,hip hop,"hip hop, pop, R&B"
Fabolous,Can't Let You Go (feat. Mike Shorey & Lil' Mo),3.7328833333333336,2003,A major,192.082,hip hop,"hip hop, pop, R&B"
Kelly Clarkson,Miss Independent,3.57955,2003,B minor,175.943,pop,"pop, R&B"
Ja Rule,Mesmerize,4.6448833333333335,2002,C# major,90.079,hip hop,"hip hop, pop, R&B"
Matchbox Twenty,Unwell,3.8117666666666667,2002,F# minor,80.718,pop,"pop, rock"
Outkast,The Way You Move (feat. Sleepy Brown),3.9,2003,F minor,125.999,hip hop,"hip hop, pop"
Fabolous,Into You (feat. Tamia),4.92955,2003,G minor,182.12,hip hop,"hip hop, pop, R&B"
Switchfoot,Meant to Live,3.3562166666666666,2003,D major,151.551,rock,"rock, pop"
Daniel Bedingfield,If You're Not The One,4.283766666666667,2002,A# major,119.998,pop,pop
Good Charlotte,Lifestyles of the Rich & Famous,3.16955,2002,C# major,106.22,rock,"rock, metal"
Wayne Wonder,No Letting Go,3.3668833333333335,2003,F minor,100.215,hip hop,"hip hop, R&B"
The Strokes,Reptilia,3.6637666666666666,2003,A major,158.009,rock,rock
Avril Lavigne,I'm with You,3.717766666666667,2002,A major,151.95,pop,pop
Will Young,Leave Right Now,3.578883333333333,2003,F# major,81.931,pop,pop
Usher,Yeah! (feat. Lil Jon & Ludacris),4.172883333333333,2004,D major,105.018,hip hop,"hip hop, pop, R&B"
Maroon 5,This Love,3.4366666666666665,2002,F minor,95.051,pop,pop
Britney Spears,Toxic,3.3133333333333335,2003,F minor,143.04,pop,pop
Outkast,Hey Ya!,3.9202166666666667,2003,E minor,79.526,hip hop,"hip hop, pop"
Hoobastank,The Reason,3.88,2003,E major,82.952,pop,"pop, rock, metal"
Anastacia,Left Outside Alone,4.2904333333333335,2004,D minor,102.847,pop,pop
Daddy Yankee,Gasolina,3.21,2004,C major,96.009,latin,latin
Black Eyed Peas,Let's Get It Started - Spike Mix,3.6288833333333335,2004,B minor,104.923,hip hop,"hip hop, pop"
O-Zone,Dragostea Din Tei,3.590516666666667,2004,C major,130.103,pop,pop
Terror Squad,Lean Back,4.123766666666667,2004,C# major,95.321,hip hop,hip hop
Anastacia,Sick and Tired,3.5377666666666667,1999,C major,99.848,pop,pop
Gwen Stefani,What You Waiting For?,3.6871,2004,F major,136.027,pop,"pop, R&B"
Ashanti,Only U - No Intro,3.1051,2004,F# minor,94.547,hip hop,"hip hop, pop, R&B"
The Rasmus,In the Shadows,4.298666666666667,2003,D major,105.991,metal,metal
Houston,I Like That,3.942,2004,A# minor,106.997,hip hop,"hip hop, pop"
Beyoncé,Naughty Girl,3.4766666666666666,2003,F# minor,99.973,pop,"pop, R&B"
Linkin Park,Numb,3.0931,2003,A major,110.018,rock,"rock, metal"
Lloyd Banks,On Fire,3.1213333333333333,2004,G# major,94.857,hip hop,"hip hop, pop"
Akon,Locked Up,3.9177666666666666,2004,G major,89.987,pop,pop
D12,My Band,4.97955,2004,C# minor,120.014,hip hop,"hip hop, pop, rock"
Jay Sean,Eyes On You - Radio Mix,3.1748833333333333,2004,G major,96.525,hip hop,"hip hop, pop, R&B"
Mario Winans,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,4.288883333333334,2016,B minor,97.007,pop,pop
Destiny's Child,Lose My Breath,4.03355,2004,C# major,119.011,pop,"pop, R&B"
Eric Prydz,Call on Me - Radio Mix,2.856,2004,A# major,126.342,pop,"pop, Dance/Electronic"
Ciara,Goodies (feat. Petey Pablo),3.716666666666667,2004,F minor,102.017,pop,"pop, R&B"
Kelis,Trick Me,3.4351,2003,C# minor,107.17,pop,"pop, R&B, Dance/Electronic"
LL Cool J,Headsprung,4.455333333333333,2004,C major,99.916,hip hop,"hip hop, pop, R&B"
Spiderbait,Black Betty - Edit,3.4328833333333333,2004,G minor,124.047,rock,rock
George Michael,Amazing,4.430433333333333,2004,A# minor,128.429,others,set()
Britney Spears,My Prerogative,3.5648833333333334,2004,A# minor,111.014,pop,pop
Nina Sky,Move Ya Body,3.8666666666666667,2004,B minor,121.057,pop,"pop, R&B"
Baby Bash,Suga Suga,3.9837666666666665,2003,F minor,82.331,hip hop,"hip hop, pop, R&B, latin"
Petey Pablo,Freek-A-Leek,3.919766666666667,2003,D major,104.917,hip hop,"hip hop, pop"
JAY-Z,Dirt Off Your Shoulder,4.086216666666667,2003,C# major,163.971,hip hop,hip hop
Juanes,La Camisa Negra,3.6117666666666666,2004,F# minor,97.007,pop,"pop, latin"
Avril Lavigne,Nobody's Home,3.540216666666667,2004,F minor,185.406,pop,pop
Robbie Williams,Radio,3.8933333333333335,2004,F minor,130.015,pop,"pop, rock"
Black Eyed Peas,Hey Mama,3.58155,2003,E minor,100.15,hip hop,"hip hop, pop"
Ying Yang Twins,Salt Shaker,4.207333333333334,2003,B major,101.965,hip hop,"hip hop, pop"
Enrique Iglesias,Not In Love - Radio Mix,3.7188833333333333,2003,C minor,117.021,pop,"pop, latin"
Kelis,Milkshake,3.0437666666666665,2003,C# major,112.968,pop,"pop, R&B, Dance/Electronic"
Linkin Park,Breaking the Habit,3.2817666666666665,2003,E minor,100.021,rock,"rock, metal"
JoJo,Leave (Get Out) - Radio Edit,4.045766666666666,2005,F major,86.891,hip hop,"hip hop, pop, R&B"
Christina Milian,Dip It Low,3.2864333333333335,2004,B minor,169.131,hip hop,"hip hop, pop, R&B"
Avant,Read Your Mind,4.391766666666666,2003,G# minor,73.108,pop,"pop, R&B"
Eminem,Just Lose It,4.144666666666667,2004,G# major,121.003,hip hop,hip hop
Sugababes,Too Lost In You,3.96155,2003,C# minor,98.014,pop,"pop, R&B"
Snoop Dogg,Drop It Like It's Hot,4.434433333333334,2004,C# major,92.063,hip hop,"hip hop, pop"
Sean Paul,I'm Still in Love with You (feat. Sasha),4.556,2002,G major,87.002,hip hop,"hip hop, pop"
The Shapeshifters,Lola's Theme - Radio Edit,3.4511,2004,F minor,123.925,dance/electronic,Dance/Electronic
D12,How Come,4.158883333333334,2004,A major,89.983,hip hop,"hip hop, pop, rock"
Basement Jaxx,Good Luck,4.7051,2003,F major,154.07,pop,"pop, Dance/Electronic"
Kevin Lyttle,Turn Me On,3.201766666666667,2004,A major,106.279,hip hop,hip hop
Chingy,One Call Away,4.613333333333333,2003,E minor,162.519,hip hop,"hip hop, pop, R&B"
T.I.,Bring Em Out,3.6117666666666666,2004,B major,98.579,hip hop,"hip hop, pop"
DJ Casper,Cha Cha Slide - Hardino Mix,3.7024333333333335,2004,B minor,131.012,others,set()
Kylie Minogue,I Believe in You,3.34955,2004,G major,120.939,pop,"pop, Dance/Electronic"
Twista,Overnight Celebrity,3.8893333333333335,2004,A# minor,134.199,hip hop,"hip hop, pop, R&B"
N.E.R.D,She Wants To Move,3.5631,2004,F major,115.012,hip hop,hip hop
Britney Spears,Everytime,3.838433333333333,2003,D# major,109.599,pop,pop
U2,Vertigo,3.2253333333333334,2004,A major,140.083,world/traditional,"World/Traditional, rock"
Franz Ferdinand,Take Me Out,3.9504333333333332,2004,E minor,104.561,rock,rock
J-Kwon,Tipsy - Club Mix,4.118433333333333,2001,A minor,93.04,hip hop,"hip hop, pop"
G-Unit,Wanna Get To Know You,4.4171,2003,A# minor,76.91,hip hop,"hip hop, pop"
Lil' Flip,Sunshine (feat. Lea),3.752883333333333,2004,C major,93.961,hip hop,"hip hop, pop"
Kanye West,Jesus Walks,3.2288833333333335,2004,D# minor,87.312,hip hop,hip hop
Evanescence,My Immortal,4.37555,2003,A major,79.012,metal,metal
Nelly,My Place,5.608433333333333,2004,C# minor,163.153,hip hop,"hip hop, pop, R&B"
Lemar,If There's Any Justice,3.818,2004,F# minor,89.993,r&b,R&B
No Doubt,It's My Life,3.76755,2003,G# minor,126.326,rock,"rock, pop"
Avril Lavigne,Don't Tell Me,3.3668833333333335,2004,E major,144.106,pop,pop
Twista,Slow Jamz,5.26755,2004,D minor,145.115,hip hop,"hip hop, pop, R&B"
Green Day,American Idiot,2.9391,2004,C# major,186.113,rock,rock
Kelis,Millionaire,3.748883333333333,2003,B major,176.051,pop,"pop, R&B, Dance/Electronic"
Scissor Sisters,Comfortably Numb,4.434,2004,G major,116.972,pop,"pop, rock, Dance/Electronic"
Alicia Keys,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),4.736,2003,G# minor,127.932,pop,"pop, R&B"
Kanye West,Through The Wire,3.6871,2004,G major,83.089,hip hop,hip hop
Special D.,Come With Me - Radio Edit,3.08555,2004,G major,139.982,pop,pop
Ludacris,Splash Waterfalls,4.846,2003,B major,145.894,hip hop,"hip hop, pop"
Avril Lavigne,My Happy Ending,4.040216666666667,2004,D major,170.229,pop,pop
Dido,White Flag,4.000666666666667,2003,F major,169.951,pop,pop
Eamon,Fuck It (I Don't Want You Back),3.7517666666666667,2004,C minor,68.507,others,set()
Beyoncé,"Me, Myself and I",5.018883333333333,2003,C# major,83.61,pop,"pop, R&B"
3 Doors Down,Here Without You,3.9788833333333335,2002,A# minor,143.994,pop,"pop, rock, metal"
Kanye West,All Falls Down,3.7251,2004,G# minor,91.03,hip hop,hip hop
Twista,Sunshine (feat. Anthony Hamilton),3.7668833333333334,2004,B major,98.523,hip hop,"hip hop, pop, R&B"
Katie Melua,The Closest Thing to Crazy,4.207766666666667,2003,E major,127.831,pop,"pop, easy listening, jazz"
Usher,My Boo,3.724,2004,F major,86.412,hip hop,"hip hop, pop, R&B"
Lloyd,Southside,4.6306666666666665,2004,A minor,75.007,hip hop,"hip hop, pop, R&B"
LMC,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,2.8591,2004,F# major,128.658,dance/electronic,Dance/Electronic
The Streets,Fit but You Know It,4.2377666666666665,2004,F# major,172.302,hip hop,"hip hop, Dance/Electronic"
JUVENILE,Slow Motion,4.136666666666667,2003,C minor,172.872,hip hop,"hip hop, pop"
Outkast,The Way You Move (feat. Sleepy Brown),3.9,2003,F minor,125.999,hip hop,"hip hop, pop"
Girls Aloud,Love Machine,3.4226666666666667,2004,G major,116.02,pop,"pop, Dance/Electronic"
Jessica Simpson,With You,3.1971,2003,C major,94.487,pop,"pop, R&B"
Eminem,Like Toy Soldiers,4.948,2004,G# minor,79.178,hip hop,hip hop
Gary Jules,Mad World (Feat. Michael Andrews),3.1584333333333334,2001,D# major,174.117,pop,pop
Ashlee Simpson,Pieces Of Me,3.624,2004,D major,174.001,pop,pop
Will Young,Leave Right Now,3.578883333333333,2003,F# major,81.931,pop,pop
Alicia Keys,You Don't Know My Name,6.112216666666667,2003,A major,167.078,pop,"pop, R&B"
Mariah Carey,We Belong Together,3.3566666666666665,2005,C major,139.987,pop,"pop, R&B"
Mario,Let Me Love You,4.278883333333333,2004,G minor,94.514,pop,"pop, R&B"
Kanye West,Gold Digger,3.4604333333333335,2005,C# minor,93.034,hip hop,hip hop
Rihanna,Pon de Replay,4.116,2005,G major,99.019,hip hop,"hip hop, pop, R&B"
50 Cent,Candy Shop,3.4851,2005,B major,125.173,hip hop,"hip hop, pop"
James Blunt,You're Beautiful,3.49155,2005,C minor,81.998,pop,pop
Green Day,Boulevard of Broken Dreams,4.354433333333334,2004,G# major,167.046,rock,rock
The Pussycat Dolls,Don't Cha,4.534666666666666,2005,C# major,120.003,pop,"pop, R&B"
Daniel Powter,Bad Day,3.894,2005,D# major,140.046,pop,pop
Akon,Bananza (Belly Dancer),3.9748833333333335,2004,A# minor,104.838,pop,pop
Madonna,Hung Up,5.6288833333333335,2005,A minor,125.02,pop,pop
50 Cent,Just A Lil Bit,3.9617666666666667,2005,C# major,96.946,hip hop,"hip hop, pop"
Crazy Frog,Axel F,2.81465,2005,D major,138.045,pop,pop
Eminem,Ass Like That,4.424666666666667,2004,D major,83.093,hip hop,hip hop
Sean Paul,We Be Burnin',3.5511,2005,C# major,117.0,hip hop,"hip hop, pop"
Gwen Stefani,Rich Girl,3.9368833333333333,2004,G minor,98.018,pop,"pop, R&B"
The Chemical Brothers,Galvanize,6.56355,2005,G major,104.003,dance/electronic,Dance/Electronic
Fort Minor,Remember the Name (feat. Styles of Beyond),3.84155,2005,G# major,84.858,hip hop,"hip hop, pop, rock"
50 Cent,Disco Inferno,3.5704333333333333,2005,D# major,97.018,hip hop,"hip hop, pop"
The Game,How We Do,3.92555,2005,E minor,98.012,hip hop,"hip hop, pop"
Chris Brown,Run It! (feat. Juelz Santana),3.8311,2005,C# minor,100.969,hip hop,"hip hop, pop, R&B"
Mariah Carey,It's Like That,3.3893333333333335,2005,G# minor,95.953,pop,"pop, R&B"
Black Eyed Peas,My Humps,5.449333333333334,2005,C# minor,123.95,hip hop,"hip hop, pop"
Ciara,Oh (feat. Ludacris),4.272433333333334,2004,G major,128.29,pop,"pop, R&B"
50 Cent,Outta Control - Remix,4.1251,2005,G# minor,92.029,hip hop,"hip hop, pop"
Baby Bash,"Baby, I'm Back",3.6653333333333333,2005,A minor,100.01,hip hop,"hip hop, pop, R&B, latin"
Jennifer Lopez,Get Right,3.7588833333333334,2005,C minor,97.084,hip hop,"hip hop, pop, R&B"
JAY-Z,Numb / Encore,3.4288833333333333,2004,D major,107.045,hip hop,hip hop
The Game,Hate It Or Love It,3.44,2005,A major,99.998,hip hop,"hip hop, pop"
Gorillaz,Feel Good Inc.,3.7106666666666666,2005,F# major,138.559,hip hop,hip hop
Black Eyed Peas,Don't Phunk With My Heart,3.9962166666666668,2005,F minor,130.889,hip hop,"hip hop, pop"
Akon,Lonely,3.93,2004,F minor,90.098,pop,pop
Bodyrockers,I Like The Way - Radio Edit,3.334216666666667,2005,F# major,127.988,rock,"rock, Dance/Electronic"
Sugababes,Push The Button,3.6348833333333332,2005,G# major,126.016,pop,"pop, R&B"
Jeezy,Soul Survivor,4.666883333333334,2005,A# major,84.03,hip hop,"hip hop, pop"
Eminem,Mockingbird,4.179333333333333,2004,C major,84.039,hip hop,hip hop
Shakira,La Tortura (feat. Alejandro Sanz),3.548216666666667,2005,C major,100.011,pop,"pop, latin"
Gorillaz,DARE,4.083316666666667,2005,B minor,120.264,hip hop,hip hop
Snoop Dogg,Signs,3.9468833333333335,2004,G major,112.955,hip hop,"hip hop, pop"
Robbie Williams,Tripping,4.61005,2005,D minor,118.014,pop,"pop, rock"
David Banner,Play,3.83555,2005,C# minor,95.027,hip hop,"hip hop, pop"
Trillville,Some Cut,4.724233333333333,2004,C# major,84.995,hip hop,"hip hop, pop"
D4L,Laffy Taffy,3.73755,2005,G minor,77.499,hip hop,"hip hop, pop"
Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop),3.78105,2005,E minor,125.461,hip hop,"hip hop, pop, R&B"
Rob Thomas,Lonely No More,3.7773333333333334,2005,A minor,171.79,pop,"pop, Folk/Acoustic"
Brian McFadden,Almost Here,3.830433333333333,2004,A minor,77.984,others,set()
Bobby V.,"Slow Down - 12"" Version",4.3111,2005,B minor,186.048,hip hop,"hip hop, pop, R&B"
Backstreet Boys,Incomplete,3.9931,2005,E major,133.631,pop,pop
Pretty Ricky,Grind With Me,3.9622166666666665,2005,C# major,136.518,hip hop,"hip hop, pop, R&B"
Kanye West,Diamonds From Sierra Leone - Remix,3.89,2005,G major,97.043,hip hop,hip hop
Snoop Dogg,Drop It Like It's Hot,4.434433333333334,2004,C# major,92.063,hip hop,"hip hop, pop"
Fat Joe,Get It Poppin' (feat. Nelly) - Radio Version,3.522,2005,C# major,100.813,hip hop,"hip hop, pop"
Destiny's Child,Soldier (feat. T.I. & Lil' Wayne),5.426216666666667,2004,G major,77.49,pop,"pop, R&B"
Ciara,"1, 2 Step (feat. Missy Elliott) - Main",3.370216666666667,2005,F minor,113.053,pop,"pop, R&B"
Amerie,1 Thing,3.9791,2008,A# minor,125.085,hip hop,"hip hop, pop, R&B"
Ludacris,Get Back,4.512433333333333,2004,C# major,171.609,hip hop,"hip hop, pop"
Franz Ferdinand,Do You Want To,3.5833333333333335,2005,C major,123.091,rock,rock
Natalie Imbruglia,Shiver,3.7108833333333333,2005,C# major,94.163,pop,"pop, Folk/Acoustic"
Gwen Stefani,Hollaback Girl,3.3308833333333334,2004,A# minor,110.007,pop,"pop, R&B"
Pretty Ricky,Your Body,4.000666666666667,2005,E minor,90.038,hip hop,"hip hop, pop, R&B"
Thirty Seconds To Mars,The Kill,3.8588833333333334,2005,E minor,182.99,rock,rock
Alicia Keys,Karma,4.266666666666667,2003,A# major,85.098,pop,"pop, R&B"
2Pac,Ghetto Gospel,3.96755,2004,F minor,80.569,hip hop,hip hop
Craig David,Don't Love You No More (I'm Sorry),4.066433333333333,2005,G major,100.113,hip hop,"hip hop, pop, R&B"
Katie Melua,Nine Million Bicycles,3.286,2005,C major,82.168,pop,"pop, easy listening, jazz"
Lil Jon & The East Side Boyz,Lovers And Friends,4.343333333333334,2004,A# major,139.861,hip hop,"hip hop, pop"
Mariah Carey,Don't Forget About Us - Radio Edit,3.8977666666666666,2005,A# minor,143.555,pop,"pop, R&B"
Ying Yang Twins,Wait (The Whisper Song),2.986,2005,G major,102.017,hip hop,"hip hop, pop"
Will Smith,Switch,3.2944333333333335,2020,F minor,102.516,hip hop,"hip hop, pop"
Bow Wow,Like You (feat. Ciara),3.4306666666666668,2005,F# major,82.017,hip hop,"hip hop, pop, R&B"
Kaiser Chiefs,Everyday I Love You Less And Less,3.628433333333333,2005,C# minor,160.028,rock,rock
Kelly Clarkson,Behind These Hazel Eyes,3.3162166666666666,2004,A major,90.048,pop,"pop, R&B"
Black Eyed Peas,Don't Lie,3.65,2005,A major,89.885,hip hop,"hip hop, pop"
Westlife,You Raise Me Up,4.017766666666667,2005,A# major,75.048,pop,pop
Ray J,One Wish,5.6273333333333335,2005,F minor,127.673,hip hop,"hip hop, pop, R&B"
Papa Roach,Scars,3.4699833333333334,2004,B major,89.782,rock,"rock, metal"
Arctic Monkeys,I Bet You Look Good On The Dancefloor,2.8946666666666667,2006,F# minor,103.183,rock,rock
Shayne Ward,That's My Goal,3.66,2006,D major,68.637,pop,pop
Bow Wow,Let Me Hold You (feat. Omarion),4.14155,2005,F# major,151.518,hip hop,"hip hop, pop, R&B"
Kaiser Chiefs,I Predict A Riot,3.886433333333333,2005,G# major,158.842,rock,rock
Usher,Caught Up,3.744,2004,F# major,110.086,hip hop,"hip hop, pop, R&B"
Kelly Clarkson,Because of You,3.6582166666666667,2004,F minor,139.92,pop,"pop, R&B"
