artist,song,duration [min],release year,key_full,tempo [bpm],genre_primary,genre_raw
Sammie,I Like It,4.184,2000,A major,129.963,hip hop,"hip hop, pop, R&B"
Craig David,7 Days,3.9188833333333335,2000,E minor,83.014,hip hop,"hip hop, pop, R&B"
Santana,Maria Maria (feat. The Product G&B),4.366216666666666,1999,D major,97.911,rock,"rock, blues, latin"
Kandi,Don't Think I'm Not,4.058883333333333,2000,B major,134.007,pop,"pop, R&B"
P!nk,There You Go,3.38,2000,A# minor,107.908,pop,pop
Vengaboys,Shalala Lala,3.5803166666666666,2000,D major,124.017,pop,pop
Ronan Keating,Life Is A Rollercoaster,3.9137666666666666,2000,C major,118.981,pop,"pop, rock"
Madison Avenue,Don't Call Me Baby,3.8023333333333333,1999,D# minor,124.999,dance/electronic,Dance/Electronic
Destiny's Child,"Jumpin', Jumpin'",3.8366666666666664,1999,C# major,88.997,pop,"pop, R&B"
Céline Dion,That's the Way It Is,4.022883333333334,1999,A major,93.04,pop,pop
3 Doors Down,Kryptonite,3.8988833333333335,2000,B minor,99.009,pop,"pop, rock, metal"
Carl Thomas,I Wish,3.779333333333333,2000,C# major,89.824,pop,"pop, R&B"
Mystikal,Shake Ya Ass,4.282883333333333,2000,G major,98.054,hip hop,"hip hop, pop"
Fuel,Hemorrhage (In My Hands),3.947766666666667,2000,C# major,152.034,rock,"rock, pop, metal"
Donell Jones,Where I Wanna Be,4.2271,1999,F minor,102.053,pop,"pop, R&B"
Savage Garden,Crash and Burn,4.6911,1999,E major,102.03,pop,pop
Westlife,My Love,3.8626666666666667,2000,C major,144.142,pop,pop
All Saints,Pure Shores,4.4791,2000,F# major,100.618,pop,pop
Destiny's Child,"Independent Women, Pt. 1",3.68555,2001,F# minor,97.954,pop,"pop, R&B"
*NSYNC,It's Gonna Be Me,3.184,2000,C minor,165.09,pop,pop
Erykah Badu,Bag Lady,5.814883333333333,2000,F minor,151.181,hip hop,"hip hop, R&B"
Marc Anthony,You Sang To Me,5.7851,1999,A# major,165.98,pop,"pop, latin"
Matchbox Twenty,Bent,4.268883333333333,2000,F# minor,95.468,pop,"pop, rock"
Gabrielle,Rise,3.65155,2001,G# major,144.673,pop,"pop, R&B"
Backstreet Boys,Shape of My Heart,3.8348833333333334,2000,A major,96.102,pop,pop
Creed,With Arms Wide Open,4.58,1999,C major,138.852,pop,"pop, rock, metal"
The Corrs,Breathless,3.4584333333333332,2000,B major,126.988,pop,"pop, Folk/Acoustic"
Joe,I Wanna Know,4.944883333333333,2000,G# minor,136.086,pop,"pop, R&B"
Wheatus,Teenage Dirtbag,4.0277666666666665,1999,E major,94.661,others,set()
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,3.3888833333333332,1999,G# major,118.903,pop,pop
Creed,Higher,5.278883333333333,1999,D major,155.827,pop,"pop, rock, metal"
Britney Spears,Lucky,3.4371,2000,G# major,95.026,pop,pop
Nelly,Country Grammar (Hot Shit),4.783333333333333,2000,D major,162.831,hip hop,"hip hop, pop, R&B"
Shaggy,It Wasn't Me,3.7933333333333334,2000,C major,94.759,hip hop,"hip hop, pop"
Destiny's Child,Survivor,4.233766666666667,2001,C# minor,161.109,pop,"pop, R&B"
Eminem,Stan,6.7351,2000,F# minor,80.063,hip hop,hip hop
Kylie Minogue,Can't Get You out of My Head,3.844,2001,A minor,126.007,pop,"pop, Dance/Electronic"
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",4.414883333333333,2001,F major,109.919,pop,pop
Nelly Furtado,I'm Like A Bird,4.052666666666667,2000,A# major,89.661,hip hop,"hip hop, pop, latin"
Shakira,"Whenever, Wherever",3.2693333333333334,2001,C# minor,107.657,pop,"pop, latin"
Jimmy Eat World,The Middle,2.7642166666666665,2001,D major,162.152,rock,"rock, pop"
Train,Drops of Jupiter (Tell Me),4.332216666666667,2001,C major,79.064,pop,pop
Geri Halliwell,It's Raining Men,4.244,2001,F minor,136.482,pop,pop
Blu Cantrell,Hit 'Em Up Style (Oops!),4.178433333333333,2001,F minor,89.976,pop,"pop, R&B"
Britney Spears,I'm a Slave 4 U,3.3933333333333335,2001,F minor,110.027,pop,pop
Kylie Minogue,In Your Eyes,3.2971,2001,F# minor,123.971,pop,"pop, Dance/Electronic"
Missy Elliott,One Minute Man (feat. Ludacris),4.216433333333334,2001,A major,93.839,hip hop,"hip hop, pop, R&B"
Mary J. Blige,Family Affair,4.4311,2001,G# minor,92.887,pop,"pop, R&B"
Faithless,We Come 1 - Radio Edit,3.70725,2015,F minor,135.977,pop,"pop, Dance/Electronic"
Limp Bizkit,Rollin' (Air Raid Vehicle),3.562666666666667,2000,C# major,96.306,metal,metal
Lasgo,Something,3.6828833333333333,2001,G minor,140.01,pop,pop
iio,Rapture (feat.Nadia Ali),4.2264333333333335,2006,G# major,123.943,dance/electronic,Dance/Electronic
Emma Bunton,What Took You So Long?,4.016666666666667,2001,A minor,118.011,pop,pop
112,It's Over Now,4.41555,2001,C# major,97.988,hip hop,"hip hop, pop, R&B"
Blue,All Rise,3.7257666666666664,2001,F minor,97.996,pop,pop
Jessica Simpson,Irresistible,3.2337666666666665,2001,G# minor,93.013,pop,"pop, R&B"
Crazy Town,Butterfly,3.612216666666667,1999,A minor,103.502,rock,"rock, metal"
Michael Jackson,You Rock My World,5.6288833333333335,2001,E minor,95.0,pop,"pop, R&B"
Eve,Let Me Blow Ya Mind,3.83555,2001,G# minor,90.032,hip hop,"hip hop, pop, R&B"
Jennifer Lopez,Ain't It Funny,4.102666666666667,2001,F minor,99.825,hip hop,"hip hop, pop, R&B"
Brandy,Another Day in Paradise - R&B-Version,4.5271,2002,F# minor,102.043,hip hop,"hip hop, pop, R&B"
Nickelback,How You Remind Me,3.7306666666666666,2001,A# major,172.094,rock,"rock, metal"
Daft Punk,One More Time,5.339283333333333,2001,D major,122.746,hip hop,"hip hop, Dance/Electronic"
Outkast,Ms. Jackson,4.5084333333333335,2000,E minor,94.948,hip hop,"hip hop, pop"
Fragma,Everytime You Need Me - Radio Version,3.5557666666666665,2001,B minor,137.029,pop,"pop, Dance/Electronic"
Mariah Carey,Loverboy,3.81955,2001,C# major,103.141,pop,"pop, R&B"
Dido,Thank You,3.6393333333333335,1999,C# minor,79.984,pop,pop
Joe,Stutter (feat. Mystikal) - Double Take Remix,3.5504333333333333,2000,F# major,89.989,pop,"pop, R&B"
P.O.D.,Youth of the Nation,4.270666666666667,2001,G# major,97.867,rock,"rock, metal"
Jennifer Lopez,Play,3.5248833333333334,2001,C# minor,104.719,hip hop,"hip hop, pop, R&B"
Missy Elliott,Get Ur Freak On,3.518666666666667,2001,C major,177.87,hip hop,"hip hop, pop, R&B"
Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),4.211766666666667,2008,A# minor,100.851,pop,"pop, latin"
Christina Milian,AM To PM,3.85355,2001,A# minor,105.005,hip hop,"hip hop, pop, R&B"
Roger Sanchez,Another Chance,7.5484333333333336,2000,D# major,127.993,dance/electronic,Dance/Electronic
Gorillaz,Clint Eastwood,5.682,2001,A# minor,167.953,hip hop,hip hop
2Pac,Until The End Of Time,4.441766666666667,2001,G# major,96.976,hip hop,hip hop
Tamia,Stranger in My House,4.756433333333334,2000,C major,119.94,pop,"pop, R&B"
Mary J. Blige,No More Drama,5.437333333333333,2001,F# minor,97.914,pop,"pop, R&B"
Jennifer Lopez,Love Don't Cost a Thing,3.6871,2001,E minor,97.577,hip hop,"hip hop, pop, R&B"
Jamiroquai,Little L,4.923333333333333,2001,A# minor,121.906,pop,pop
Case,Missing You,4.744433333333333,2001,C# minor,86.31,hip hop,"hip hop, pop, R&B"
112,Peaches & Cream,3.2182166666666667,2001,E minor,203.862,hip hop,"hip hop, pop, R&B"
Five,Let's Dance - Radio Edit,3.6437666666666666,2001,E minor,118.007,pop,pop
Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],3.552216666666667,2001,C major,129.078,dance/electronic,Dance/Electronic
Alien Ant Farm,Smooth Criminal,3.4877666666666665,2001,A minor,126.928,rock,"rock, metal"
Erick Sermon,Music (feat. Marvin Gaye),3.7188833333333333,2001,A# minor,100.01,hip hop,"hip hop, pop"
D12,Purple Pills,5.0751,2001,C# major,125.25,hip hop,"hip hop, pop, rock"
Usher,Pop Ya Collar - Radio Edit,3.51355,2016,F minor,106.957,hip hop,"hip hop, pop, R&B"
Madonna,Don't Tell Me,4.682883333333334,2000,G major,99.965,pop,pop
Blue,If You Come Back,3.4593333333333334,2001,A# major,78.375,pop,pop
Atomic Kitten,Eternal Flame - Single Version,3.2584333333333335,2001,C major,83.293,pop,pop
Jagged Edge,Where the Party At (feat. Nelly),3.8762166666666666,2001,F minor,129.491,hip hop,"hip hop, pop, R&B"
Afroman,Because I Got High,3.296,2001,G major,166.01,hip hop,hip hop
S Club 7,Don't Stop Movin',3.8937666666666666,2001,G major,117.033,pop,pop
Craig David,Fill Me In,4.286666666666667,2000,G# major,132.493,hip hop,"hip hop, pop, R&B"
Nelly Furtado,Turn Off The Light,4.601766666666666,2000,D major,180.184,hip hop,"hip hop, pop, latin"
The Supermen Lovers,Starlight - Radio Edit,3.9066666666666667,2001,C major,127.487,dance/electronic,Dance/Electronic
Mis-Teeq,All I Want - Sunship Radio Edit,3.4566666666666666,2004,A minor,134.079,pop,"pop, Dance/Electronic"
Jagged Edge,Promise,4.112,2000,F minor,128.002,hip hop,"hip hop, pop, R&B"
S Club 7,Have You Ever,3.3588833333333334,2001,C major,139.909,pop,pop
Enya,Only Time,3.6424333333333334,2000,D# major,82.803,world/traditional,"World/Traditional, Folk/Acoustic"
Faith Hill,There You'll Be,3.702,2001,G# major,128.98,pop,"pop, country"
Ronan Keating,Lovin' Each Day,3.54955,2000,C# major,106.676,pop,"pop, rock"
Destiny's Child,Bootylicious,3.4651,2001,C# minor,103.376,pop,"pop, R&B"
Steps,It's the Way You Make Me Feel,3.2893333333333334,2000,G# major,105.006,pop,"pop, Dance/Electronic"
Sunshine Anderson,Heard It All Before,4.930433333333333,2001,D# minor,96.951,pop,"pop, R&B"
Lenny Kravitz,Again,3.8611,2000,D major,79.166,rock,"rock, pop"
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,2.70555,2002,G minor,133.592,pop,pop
DB Boulevard,Point Of View - Radio Edit,3.8527666666666667,2018,F# major,129.006,dance/electronic,Dance/Electronic
Janet Jackson,All For You,5.498883333333334,2001,D major,113.525,pop,"pop, R&B"
Atomic Kitten,Whole Again,3.08355,2001,E major,94.019,pop,pop
Ja Rule,Livin' It Up,4.284433333333333,2001,F# major,106.095,hip hop,"hip hop, pop, R&B"
Destiny's Child,"Independent Women, Pt. 1",3.68555,2001,F# minor,97.954,pop,"pop, R&B"
DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,3.6186666666666665,2001,D major,131.044,dance/electronic,Dance/Electronic
Jennifer Lopez,I'm Real (feat. Ja Rule) - Murder Remix,4.368883333333334,2001,B minor,83.46,hip hop,"hip hop, pop, R&B"
Musiq Soulchild,Love,5.077766666666666,2000,C# minor,99.738,pop,"pop, R&B"
So Solid Crew,21 Seconds,5.0471,2001,C# major,137.03,dance/electronic,Dance/Electronic
Robbie Williams,Eternity,5.046,2001,A# major,77.967,pop,"pop, rock"
Basement Jaxx,Romeo,3.6248833333333335,2001,D major,126.853,pop,"pop, Dance/Electronic"
Ludacris,Southern Hospitality (Featuring Pharrell),5.01555,2000,C major,95.158,hip hop,"hip hop, pop"
Gabrielle,Rise,3.65155,2001,G# major,144.673,pop,"pop, R&B"
Nelly,Ride Wit Me,4.863016666666667,2000,G major,101.875,hip hop,"hip hop, pop, R&B"
Trick Daddy,I'm a Thug,4.24,2001,B major,139.976,hip hop,"hip hop, pop"
Travis,Sing,3.8133333333333335,2001,E major,163.142,rock,"rock, pop"
JAY-Z,Izzo (H.O.V.A.),4.010433333333333,2001,C# minor,84.411,hip hop,hip hop
Gabrielle,Out Of Reach,3.2831,2001,B major,182.862,pop,"pop, R&B"
OPM,Heaven Is a Halfpipe (If I Die),4.2904333333333335,2000,G# major,95.9,rock,rock
K-Ci & JoJo,Crazy,4.37955,2019,C major,116.097,pop,"pop, R&B"
Staind,It's Been Awhile,4.411766666666667,2001,F# major,116.529,rock,"rock, metal"
3LW,No More (Baby I'ma Do Right),4.390666666666666,2000,D minor,88.933,pop,"pop, R&B"
Ginuwine,Differences,4.42555,2001,D# minor,62.876,hip hop,"hip hop, pop, R&B"
*NSYNC,Gone,4.866666666666666,2001,B minor,113.922,pop,pop
Lifehouse,Hanging By A Moment,3.606,2000,C# major,124.599,pop,"pop, rock, metal"
Nelly,Dilemma,4.819333333333334,2002,D minor,168.189,hip hop,"hip hop, pop, R&B"
Eminem,Without Me,4.838666666666667,2002,G major,112.238,hip hop,hip hop
Avril Lavigne,Complicated,4.0751,2002,F major,77.987,pop,pop
Vanessa Carlton,A Thousand Miles,3.9582166666666665,2002,B major,94.931,folk/acoustic,"Folk/Acoustic, pop"
The Calling,Wherever You Will Go,3.4766666666666666,2001,D major,112.027,pop,pop
Shakira,Underneath Your Clothes,3.7344333333333335,2001,G# major,165.508,pop,"pop, latin"
No Doubt,Underneath It All,5.045333333333334,2001,E major,138.202,rock,"rock, pop"
Truth Hurts,Addictive,3.774,2002,B minor,99.271,pop,"pop, R&B"
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),5.4051,2002,F# major,85.996,hip hop,"hip hop, pop"
Eminem,'Till I Collapse,4.9631,2002,C# major,171.447,hip hop,hip hop
Diddy,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",4.759766666666667,2004,C# minor,199.764,hip hop,"hip hop, pop"
Christina Milian,When You Look At Me - Radio Edit,3.7091,2001,D# minor,108.955,hip hop,"hip hop, pop, R&B"
Madonna,Die Another Day,4.606,2003,C minor,123.993,pop,pop
Jennifer Lopez,I'm Gonna Be Alright (feat. Nas),2.8706666666666667,2002,A# minor,93.401,hip hop,"hip hop, pop, R&B"
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),4.074433333333333,2019,A minor,195.685,pop,pop
Linkin Park,In the End,3.6146666666666665,2000,D# minor,105.143,rock,"rock, metal"
Las Ketchup,The Ketchup Song (Aserejé) - Spanglish Version,3.5662166666666666,2002,C# major,184.819,others,set()
Aaliyah,Rock The Boat,4.5837666666666665,2019,F major,92.988,hip hop,"hip hop, pop, R&B"
Holly Valance,Kiss Kiss,3.4066666666666667,2002,E minor,97.036,pop,"pop, Dance/Electronic"
Sugababes,Round Round,3.9404333333333335,2002,F# minor,126.607,pop,"pop, R&B"
Marilyn Manson,Tainted Love,3.3404333333333334,2003,G# major,142.017,rock,"rock, metal"
