artist,song,duration [min],release year,key,tempo [bpm],genre
Destiny's Child,"Independent Women, Pt. 1",3.68555,2001,F#,97.954,pop
*NSYNC,It's Gonna Be Me,3.184,2000,C,165.09,pop
Erykah Badu,Bag Lady,5.814883333333333,2000,F,151.181,hip hop
Marc Anthony,You Sang To Me,5.7851,1999,A#,165.98,pop
Matchbox Twenty,Bent,4.268883333333333,2000,F#,95.468,pop
Gabrielle,Rise,3.65155,2001,G#,144.673,pop
Backstreet Boys,Shape of My Heart,3.8348833333333334,2000,A,96.102,pop
Creed,With Arms Wide Open,4.58,1999,C,138.852,pop
The Corrs,Breathless,3.4584333333333332,2000,B,126.988,pop
Joe,I Wanna Know,4.944883333333333,2000,G#,136.086,pop
Wheatus,Teenage Dirtbag,4.0277666666666665,1999,E,94.661,Others
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,3.3888833333333332,1999,G#,118.903,pop
Creed,Higher,5.278883333333333,1999,D,155.827,pop
Britney Spears,Lucky,3.4371,2000,G#,95.026,pop
Nelly,Country Grammar (Hot Shit),4.783333333333333,2000,D,162.831,hip hop
Shaggy,It Wasn't Me,3.7933333333333334,2000,C,94.759,hip hop
Destiny's Child,Survivor,4.233766666666667,2001,C#,161.109,pop
Eminem,Stan,6.7351,2000,F#,80.063,hip hop
Kylie Minogue,Can't Get You out of My Head,3.844,2001,A,126.007,pop
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",4.414883333333333,2001,F,109.919,pop
Nelly Furtado,I'm Like A Bird,4.052666666666667,2000,A#,89.661,hip hop
Shakira,"Whenever, Wherever",3.2693333333333334,2001,C#,107.657,pop
Jimmy Eat World,The Middle,2.7642166666666665,2001,D,162.152,rock
Train,Drops of Jupiter (Tell Me),4.332216666666667,2001,C,79.064,pop
Geri Halliwell,It's Raining Men,4.244,2001,F,136.482,pop
Blu Cantrell,Hit 'Em Up Style (Oops!),4.178433333333333,2001,F,89.976,pop
Britney Spears,I'm a Slave 4 U,3.3933333333333335,2001,F,110.027,pop
Kylie Minogue,In Your Eyes,3.2971,2001,F#,123.971,pop
Missy Elliott,One Minute Man (feat. Ludacris),4.216433333333334,2001,A,93.839,hip hop
Mary J. Blige,Family Affair,4.4311,2001,G#,92.887,pop
Faithless,We Come 1 - Radio Edit,3.70725,2015,F,135.977,pop
Limp Bizkit,Rollin' (Air Raid Vehicle),3.562666666666667,2000,C#,96.306,metal
Lasgo,Something,3.6828833333333333,2001,G,140.01,pop
iio,Rapture (feat.Nadia Ali),4.2264333333333335,2006,G#,123.943,Dance/Electronic
Emma Bunton,What Took You So Long?,4.016666666666667,2001,A,118.011,pop
112,It's Over Now,4.41555,2001,C#,97.988,hip hop
Blue,All Rise,3.7257666666666664,2001,F,97.996,pop
Jessica Simpson,Irresistible,3.2337666666666665,2001,G#,93.013,pop
Crazy Town,Butterfly,3.612216666666667,1999,A,103.502,rock
Michael Jackson,You Rock My World,5.6288833333333335,2001,E,95.0,pop
Eve,Let Me Blow Ya Mind,3.83555,2001,G#,90.032,hip hop
Jennifer Lopez,Ain't It Funny,4.102666666666667,2001,F,99.825,hip hop
Brandy,Another Day in Paradise - R&B-Version,4.5271,2002,F#,102.043,hip hop
Nickelback,How You Remind Me,3.7306666666666666,2001,A#,172.094,rock
Daft Punk,One More Time,5.339283333333333,2001,D,122.746,hip hop
Outkast,Ms. Jackson,4.5084333333333335,2000,E,94.948,hip hop
Fragma,Everytime You Need Me - Radio Version,3.5557666666666665,2001,B,137.029,pop
Mariah Carey,Loverboy,3.81955,2001,C#,103.141,pop
Dido,Thank You,3.6393333333333335,1999,C#,79.984,pop
Joe,Stutter (feat. Mystikal) - Double Take Remix,3.5504333333333333,2000,F#,89.989,pop
P.O.D.,Youth of the Nation,4.270666666666667,2001,G#,97.867,rock
Jennifer Lopez,Play,3.5248833333333334,2001,C#,104.719,hip hop
Missy Elliott,Get Ur Freak On,3.518666666666667,2001,C,177.87,hip hop
Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),4.211766666666667,2008,A#,100.851,pop
Christina Milian,AM To PM,3.85355,2001,A#,105.005,hip hop
Roger Sanchez,Another Chance,7.5484333333333336,2000,D#,127.993,Dance/Electronic
