artist,song,duration [min],release year,key,tempo [bpm],genre
Rachel Stevens,Sweet Dreams My LA Ex - Radio Edit,3.4731,2003,D,130.036,pop
Ludacris,Stand Up,3.562666666666667,2003,F#,99.057,hip hop
Nas,I Can,4.228666666666666,2002,F#,95.313,hip hop
3 Doors Down,When I'm Gone,4.338883333333333,2002,G,148.095,pop
Tyrese,How You Gonna Act Like That,4.91155,2002,D#,112.913,hip hop
Justin Timberlake,Cry Me a River,4.80555,2002,G#,73.898,pop
Westlife,Mandy,3.322,2003,F,105.678,pop
No Doubt,It's My Life,3.76755,2003,G#,126.326,rock
Amanda Perez,Angel,3.646,2003,C,143.772,pop
JAY-Z,Excuse Me Miss,4.687333333333333,2002,F#,92.849,hip hop
Coldplay,Clocks,5.131316666666667,2002,F,130.97,rock
Kelly Rowland,Stole,4.154883333333333,2002,G,79.993,hip hop
Missy Elliott,Work It,4.3871,2002,C#,101.868,hip hop
Ashanti,Rock Wit U (Awww Baby),3.485333333333333,2003,E,94.998,hip hop
Junior Senior,Move Your Feet,3.0304333333333333,2002,A,118.877,pop
Audioslave,Like a Stone,4.899333333333334,2002,G,107.849,rock
Sean Paul,Like Glue,3.8751,2002,C#,97.917,hip hop
Jaheim,Put That Woman First,4.096216666666667,2002,F,78.935,pop
Jennifer Lopez,All I Have (feat. LL Cool J),4.2411,2002,C#,83.066,hip hop
Monica,So Gone,4.046216666666667,2003,G#,81.975,pop
Dido,White Flag,4.000666666666667,2003,F,169.951,pop
The Roots,The Seed (2.0),4.46555,2002,G,111.121,hip hop
Chingy,Holidae In,5.24,2003,G,153.067,hip hop
Fabolous,Can't Let You Go (feat. Mike Shorey & Lil' Mo),3.7328833333333336,2003,A,192.082,hip hop
Kelly Clarkson,Miss Independent,3.57955,2003,B,175.943,pop
Ja Rule,Mesmerize,4.6448833333333335,2002,C#,90.079,hip hop
Matchbox Twenty,Unwell,3.8117666666666667,2002,F#,80.718,pop
Outkast,The Way You Move (feat. Sleepy Brown),3.9,2003,F,125.999,hip hop
Fabolous,Into You (feat. Tamia),4.92955,2003,G,182.12,hip hop
Switchfoot,Meant to Live,3.3562166666666666,2003,D,151.551,rock
Daniel Bedingfield,If You're Not The One,4.283766666666667,2002,A#,119.998,pop
Good Charlotte,Lifestyles of the Rich & Famous,3.16955,2002,C#,106.22,rock
Wayne Wonder,No Letting Go,3.3668833333333335,2003,F,100.215,hip hop
The Strokes,Reptilia,3.6637666666666666,2003,A,158.009,rock
Avril Lavigne,I'm with You,3.717766666666667,2002,A,151.95,pop
Will Young,Leave Right Now,3.578883333333333,2003,F#,81.931,pop
Usher,Yeah! (feat. Lil Jon & Ludacris),4.172883333333333,2004,D,105.018,hip hop
Maroon 5,This Love,3.4366666666666665,2002,F,95.051,pop
Britney Spears,Toxic,3.3133333333333335,2003,F,143.04,pop
Outkast,Hey Ya!,3.9202166666666667,2003,E,79.526,hip hop
Hoobastank,The Reason,3.88,2003,E,82.952,pop
Anastacia,Left Outside Alone,4.2904333333333335,2004,D,102.847,pop
Daddy Yankee,Gasolina,3.21,2004,C,96.009,latin
Black Eyed Peas,Let's Get It Started - Spike Mix,3.6288833333333335,2004,B,104.923,hip hop
O-Zone,Dragostea Din Tei,3.590516666666667,2004,C,130.103,pop
Terror Squad,Lean Back,4.123766666666667,2004,C#,95.321,hip hop
Anastacia,Sick and Tired,3.5377666666666667,1999,C,99.848,pop
Gwen Stefani,What You Waiting For?,3.6871,2004,F,136.027,pop
Ashanti,Only U - No Intro,3.1051,2004,F#,94.547,hip hop
The Rasmus,In the Shadows,4.298666666666667,2003,D,105.991,metal
Houston,I Like That,3.942,2004,A#,106.997,hip hop
Beyoncé,Naughty Girl,3.4766666666666666,2003,F#,99.973,pop
Linkin Park,Numb,3.0931,2003,A,110.018,rock
Lloyd Banks,On Fire,3.1213333333333333,2004,G#,94.857,hip hop
Akon,Locked Up,3.9177666666666666,2004,G,89.987,pop
D12,My Band,4.97955,2004,C#,120.014,hip hop
Jay Sean,Eyes On You - Radio Mix,3.1748833333333333,2004,G,96.525,hip hop
Mario Winans,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,4.288883333333334,2016,B,97.007,pop
Destiny's Child,Lose My Breath,4.03355,2004,C#,119.011,pop
Eric Prydz,Call on Me - Radio Mix,2.856,2004,A#,126.342,pop
Ciara,Goodies (feat. Petey Pablo),3.716666666666667,2004,F,102.017,pop
Kelis,Trick Me,3.4351,2003,C#,107.17,pop
LL Cool J,Headsprung,4.455333333333333,2004,C,99.916,hip hop
Spiderbait,Black Betty - Edit,3.4328833333333333,2004,G,124.047,rock
George Michael,Amazing,4.430433333333333,2004,A#,128.429,Others
Britney Spears,My Prerogative,3.5648833333333334,2004,A#,111.014,pop
Nina Sky,Move Ya Body,3.8666666666666667,2004,B,121.057,pop
Baby Bash,Suga Suga,3.9837666666666665,2003,F,82.331,hip hop
Petey Pablo,Freek-A-Leek,3.919766666666667,2003,D,104.917,hip hop
JAY-Z,Dirt Off Your Shoulder,4.086216666666667,2003,C#,163.971,hip hop
Juanes,La Camisa Negra,3.6117666666666666,2004,F#,97.007,pop
Avril Lavigne,Nobody's Home,3.540216666666667,2004,F,185.406,pop
Robbie Williams,Radio,3.8933333333333335,2004,F,130.015,pop
Black Eyed Peas,Hey Mama,3.58155,2003,E,100.15,hip hop
Ying Yang Twins,Salt Shaker,4.207333333333334,2003,B,101.965,hip hop
Enrique Iglesias,Not In Love - Radio Mix,3.7188833333333333,2003,C,117.021,pop
Kelis,Milkshake,3.0437666666666665,2003,C#,112.968,pop
Linkin Park,Breaking the Habit,3.2817666666666665,2003,E,100.021,rock
JoJo,Leave (Get Out) - Radio Edit,4.045766666666666,2005,F,86.891,hip hop
Christina Milian,Dip It Low,3.2864333333333335,2004,B,169.131,hip hop
Avant,Read Your Mind,4.391766666666666,2003,G#,73.108,pop
Eminem,Just Lose It,4.144666666666667,2004,G#,121.003,hip hop
Sugababes,Too Lost In You,3.96155,2003,C#,98.014,pop
Snoop Dogg,Drop It Like It's Hot,4.434433333333334,2004,C#,92.063,hip hop
Sean Paul,I'm Still in Love with You (feat. Sasha),4.556,2002,G,87.002,hip hop
The Shapeshifters,Lola's Theme - Radio Edit,3.4511,2004,F,123.925,Dance/Electronic
D12,How Come,4.158883333333334,2004,A,89.983,hip hop
Basement Jaxx,Good Luck,4.7051,2003,F,154.07,pop
Kevin Lyttle,Turn Me On,3.201766666666667,2004,A,106.279,hip hop
Chingy,One Call Away,4.613333333333333,2003,E,162.519,hip hop
T.I.,Bring Em Out,3.6117666666666666,2004,B,98.579,hip hop
DJ Casper,Cha Cha Slide - Hardino Mix,3.7024333333333335,2004,B,131.012,Others
Kylie Minogue,I Believe in You,3.34955,2004,G,120.939,pop
Twista,Overnight Celebrity,3.8893333333333335,2004,A#,134.199,hip hop
N.E.R.D,She Wants To Move,3.5631,2004,F,115.012,hip hop
Britney Spears,Everytime,3.838433333333333,2003,D#,109.599,pop
U2,Vertigo,3.2253333333333334,2004,A,140.083,World/Traditional
Franz Ferdinand,Take Me Out,3.9504333333333332,2004,E,104.561,rock
J-Kwon,Tipsy - Club Mix,4.118433333333333,2001,A,93.04,hip hop
G-Unit,Wanna Get To Know You,4.4171,2003,A#,76.91,hip hop
Lil' Flip,Sunshine (feat. Lea),3.752883333333333,2004,C,93.961,hip hop
Kanye West,Jesus Walks,3.2288833333333335,2004,D#,87.312,hip hop
Evanescence,My Immortal,4.37555,2003,A,79.012,metal
Nelly,My Place,5.608433333333333,2004,C#,163.153,hip hop
Lemar,If There's Any Justice,3.818,2004,F#,89.993,R&B
No Doubt,It's My Life,3.76755,2003,G#,126.326,rock
Avril Lavigne,Don't Tell Me,3.3668833333333335,2004,E,144.106,pop
Twista,Slow Jamz,5.26755,2004,D,145.115,hip hop
Green Day,American Idiot,2.9391,2004,C#,186.113,rock
Kelis,Millionaire,3.748883333333333,2003,B,176.051,pop
Scissor Sisters,Comfortably Numb,4.434,2004,G,116.972,pop
Alicia Keys,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),4.736,2003,G#,127.932,pop
Kanye West,Through The Wire,3.6871,2004,G,83.089,hip hop
Special D.,Come With Me - Radio Edit,3.08555,2004,G,139.982,pop
Ludacris,Splash Waterfalls,4.846,2003,B,145.894,hip hop
Avril Lavigne,My Happy Ending,4.040216666666667,2004,D,170.229,pop
Dido,White Flag,4.000666666666667,2003,F,169.951,pop
Eamon,Fuck It (I Don't Want You Back),3.7517666666666667,2004,C,68.507,Others
Beyoncé,"Me, Myself and I",5.018883333333333,2003,C#,83.61,pop
3 Doors Down,Here Without You,3.9788833333333335,2002,A#,143.994,pop
Kanye West,All Falls Down,3.7251,2004,G#,91.03,hip hop
Twista,Sunshine (feat. Anthony Hamilton),3.7668833333333334,2004,B,98.523,hip hop
Katie Melua,The Closest Thing to Crazy,4.207766666666667,2003,E,127.831,pop
Usher,My Boo,3.724,2004,F,86.412,hip hop
Lloyd,Southside,4.6306666666666665,2004,A,75.007,hip hop
LMC,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,2.8591,2004,F#,128.658,Dance/Electronic
The Streets,Fit but You Know It,4.2377666666666665,2004,F#,172.302,hip hop
JUVENILE,Slow Motion,4.136666666666667,2003,C,172.872,hip hop
Outkast,The Way You Move (feat. Sleepy Brown),3.9,2003,F,125.999,hip hop
Girls Aloud,Love Machine,3.4226666666666667,2004,G,116.02,pop
Jessica Simpson,With You,3.1971,2003,C,94.487,pop
Eminem,Like Toy Soldiers,4.948,2004,G#,79.178,hip hop
Gary Jules,Mad World (Feat. Michael Andrews),3.1584333333333334,2001,D#,174.117,pop
Ashlee Simpson,Pieces Of Me,3.624,2004,D,174.001,pop
Will Young,Leave Right Now,3.578883333333333,2003,F#,81.931,pop
Alicia Keys,You Don't Know My Name,6.112216666666667,2003,A,167.078,pop
Mariah Carey,We Belong Together,3.3566666666666665,2005,C,139.987,pop
Mario,Let Me Love You,4.278883333333333,2004,G,94.514,pop
Kanye West,Gold Digger,3.4604333333333335,2005,C#,93.034,hip hop
Rihanna,Pon de Replay,4.116,2005,G,99.019,hip hop
50 Cent,Candy Shop,3.4851,2005,B,125.173,hip hop
James Blunt,You're Beautiful,3.49155,2005,C,81.998,pop
Green Day,Boulevard of Broken Dreams,4.354433333333334,2004,G#,167.046,rock
The Pussycat Dolls,Don't Cha,4.534666666666666,2005,C#,120.003,pop
Daniel Powter,Bad Day,3.894,2005,D#,140.046,pop
Akon,Bananza (Belly Dancer),3.9748833333333335,2004,A#,104.838,pop
Madonna,Hung Up,5.6288833333333335,2005,A,125.02,pop
50 Cent,Just A Lil Bit,3.9617666666666667,2005,C#,96.946,hip hop
Crazy Frog,Axel F,2.81465,2005,D,138.045,pop
Eminem,Ass Like That,4.424666666666667,2004,D,83.093,hip hop
Sean Paul,We Be Burnin',3.5511,2005,C#,117.0,hip hop
Gwen Stefani,Rich Girl,3.9368833333333333,2004,G,98.018,pop
The Chemical Brothers,Galvanize,6.56355,2005,G,104.003,Dance/Electronic
Fort Minor,Remember the Name (feat. Styles of Beyond),3.84155,2005,G#,84.858,hip hop
50 Cent,Disco Inferno,3.5704333333333333,2005,D#,97.018,hip hop
The Game,How We Do,3.92555,2005,E,98.012,hip hop
Chris Brown,Run It! (feat. Juelz Santana),3.8311,2005,C#,100.969,hip hop
Mariah Carey,It's Like That,3.3893333333333335,2005,G#,95.953,pop
Black Eyed Peas,My Humps,5.449333333333334,2005,C#,123.95,hip hop
Ciara,Oh (feat. Ludacris),4.272433333333334,2004,G,128.29,pop
50 Cent,Outta Control - Remix,4.1251,2005,G#,92.029,hip hop
Baby Bash,"Baby, I'm Back",3.6653333333333333,2005,A,100.01,hip hop
Jennifer Lopez,Get Right,3.7588833333333334,2005,C,97.084,hip hop
JAY-Z,Numb / Encore,3.4288833333333333,2004,D,107.045,hip hop
The Game,Hate It Or Love It,3.44,2005,A,99.998,hip hop
Gorillaz,Feel Good Inc.,3.7106666666666666,2005,F#,138.559,hip hop
Black Eyed Peas,Don't Phunk With My Heart,3.9962166666666668,2005,F,130.889,hip hop
Akon,Lonely,3.93,2004,F,90.098,pop
Bodyrockers,I Like The Way - Radio Edit,3.334216666666667,2005,F#,127.988,rock
Sugababes,Push The Button,3.6348833333333332,2005,G#,126.016,pop
Jeezy,Soul Survivor,4.666883333333334,2005,A#,84.03,hip hop
Eminem,Mockingbird,4.179333333333333,2004,C,84.039,hip hop
Shakira,La Tortura (feat. Alejandro Sanz),3.548216666666667,2005,C,100.011,pop
Gorillaz,DARE,4.083316666666667,2005,B,120.264,hip hop
Snoop Dogg,Signs,3.9468833333333335,2004,G,112.955,hip hop
Robbie Williams,Tripping,4.61005,2005,D,118.014,pop
David Banner,Play,3.83555,2005,C#,95.027,hip hop
Trillville,Some Cut,4.724233333333333,2004,C#,84.995,hip hop
D4L,Laffy Taffy,3.73755,2005,G,77.499,hip hop
Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop),3.78105,2005,E,125.461,hip hop
Rob Thomas,Lonely No More,3.7773333333333334,2005,A,171.79,pop
Brian McFadden,Almost Here,3.830433333333333,2004,A,77.984,Others
Bobby V.,"Slow Down - 12"" Version",4.3111,2005,B,186.048,hip hop
Backstreet Boys,Incomplete,3.9931,2005,E,133.631,pop
Pretty Ricky,Grind With Me,3.9622166666666665,2005,C#,136.518,hip hop
Kanye West,Diamonds From Sierra Leone - Remix,3.89,2005,G,97.043,hip hop
Snoop Dogg,Drop It Like It's Hot,4.434433333333334,2004,C#,92.063,hip hop
Fat Joe,Get It Poppin' (feat. Nelly) - Radio Version,3.522,2005,C#,100.813,hip hop
Destiny's Child,Soldier (feat. T.I. & Lil' Wayne),5.426216666666667,2004,G,77.49,pop
Ciara,"1, 2 Step (feat. Missy Elliott) - Main",3.370216666666667,2005,F,113.053,pop
Amerie,1 Thing,3.9791,2008,A#,125.085,hip hop
Ludacris,Get Back,4.512433333333333,2004,C#,171.609,hip hop
Franz Ferdinand,Do You Want To,3.5833333333333335,2005,C,123.091,rock
Natalie Imbruglia,Shiver,3.7108833333333333,2005,C#,94.163,pop
Gwen Stefani,Hollaback Girl,3.3308833333333334,2004,A#,110.007,pop
Pretty Ricky,Your Body,4.000666666666667,2005,E,90.038,hip hop
Thirty Seconds To Mars,The Kill,3.8588833333333334,2005,E,182.99,rock
Alicia Keys,Karma,4.266666666666667,2003,A#,85.098,pop
2Pac,Ghetto Gospel,3.96755,2004,F,80.569,hip hop
Craig David,Don't Love You No More (I'm Sorry),4.066433333333333,2005,G,100.113,hip hop
Katie Melua,Nine Million Bicycles,3.286,2005,C,82.168,pop
Lil Jon & The East Side Boyz,Lovers And Friends,4.343333333333334,2004,A#,139.861,hip hop
Mariah Carey,Don't Forget About Us - Radio Edit,3.8977666666666666,2005,A#,143.555,pop
Ying Yang Twins,Wait (The Whisper Song),2.986,2005,G,102.017,hip hop
Will Smith,Switch,3.2944333333333335,2020,F,102.516,hip hop
Bow Wow,Like You (feat. Ciara),3.4306666666666668,2005,F#,82.017,hip hop
Kaiser Chiefs,Everyday I Love You Less And Less,3.628433333333333,2005,C#,160.028,rock
Kelly Clarkson,Behind These Hazel Eyes,3.3162166666666666,2004,A,90.048,pop
Black Eyed Peas,Don't Lie,3.65,2005,A,89.885,hip hop
Westlife,You Raise Me Up,4.017766666666667,2005,A#,75.048,pop
Ray J,One Wish,5.6273333333333335,2005,F,127.673,hip hop
Papa Roach,Scars,3.4699833333333334,2004,B,89.782,rock
Arctic Monkeys,I Bet You Look Good On The Dancefloor,2.8946666666666667,2006,F#,103.183,rock
Shayne Ward,That's My Goal,3.66,2006,D,68.637,pop
Bow Wow,Let Me Hold You (feat. Omarion),4.14155,2005,F#,151.518,hip hop
Kaiser Chiefs,I Predict A Riot,3.886433333333333,2005,G#,158.842,rock
Usher,Caught Up,3.744,2004,F#,110.086,hip hop
Kelly Clarkson,Because of You,3.6582166666666667,2004,F,139.92,pop
3 Doors Down,Let Me Go,4.050883333333333,2012,C#,92.004,pop
Nickelback,Photograph,4.315333333333333,2005,G#,145.916,rock
T-Pain,I'm Sprung,3.8506666666666667,2005,C,99.991,hip hop
Destiny's Child,Cater 2 U,4.09,2004,B,125.802,pop
The Pussycat Dolls,Stickwitu,3.4584333333333332,2005,A,79.918,pop
Ryan Cabrera,True,3.4028833333333335,2004,F#,96.938,pop
Stereophonics,Dakota,4.9571,2005,E,146.994,rock
Eminem,Like Toy Soldiers,4.948,2004,G#,79.178,hip hop
Nelly,Over And Over,4.232216666666667,2004,G,169.799,hip hop
Coldplay,Speed of Sound,4.7984333333333336,2005,B,123.067,rock
KT Tunstall,Suddenly I See,3.3617666666666666,2005,C,100.38,World/Traditional
Destiny's Child,Girl,3.7357666666666667,2004,F#,89.036,pop
Kelly Clarkson,Since U Been Gone,3.1493333333333333,2004,A,130.999,pop
U2,Sometimes You Can't Make It On Your Own,5.084666666666666,2004,D,96.0,World/Traditional
The All-American Rejects,Dirty Little Secret,3.22755,2005,A#,143.853,rock
Toby Keith,As Good As I Once Was,3.7973333333333334,2005,F,119.075,country
Gwen Stefani,Cool,3.15555,2004,D,112.019,pop
Foo Fighters,Best of You,4.260433333333333,2005,C#,130.198,rock
Shakira,Hips Don't Lie (feat. Wyclef Jean),3.6348833333333332,2005,A#,100.024,pop
Sean Paul,Temperature,3.6428833333333333,2005,C,125.04,hip hop
Justin Timberlake,SexyBack (feat. Timbaland),4.04555,2006,G,117.0,pop
Beyoncé,Irreplaceable,3.79755,2007,G,175.868,pop
Amy Winehouse,Rehab,3.5824333333333334,2006,C,71.815,R&B
Rihanna,SOS,3.982,2006,G,137.046,hip hop
Gnarls Barkley,Crazy,2.9577666666666667,2006,G#,111.97,hip hop
Busta Rhymes,Touch It,3.582666666666667,2006,C#,138.335,hip hop
Nelly Furtado,Maneater,4.314883333333333,2006,F#,132.722,hip hop
Bob Sinclar,Rock This Party - Everybody Dance Now,4.0911,2006,F,128.009,pop
Diddy,Come to Me (feat. Nicole Scherzinger),4.6131,2006,F#,96.998,hip hop
Madonna,Sorry,4.698,2005,C,132.971,pop
Chamillionaire,Ridin',5.050883333333333,2005,G#,143.052,hip hop
Black Eyed Peas,Pump It,3.5511,2005,C#,153.649,hip hop
Nelly Furtado,Promiscuous,4.038216666666667,2006,A#,114.328,hip hop
Fedde Le Grand,Put Your Hands Up for Detroit - Radio Edit,2.5088833333333334,2015,G,127.919,pop
Sean Paul,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,4.064666666666667,2006,G#,95.824,hip hop
The Pussycat Dolls,Buttons,3.759333333333333,2005,D,210.851,pop
Ciara,Get Up (feat. Chamillionaire),4.3646666666666665,2006,C#,128.593,pop
Eminem,Shake That,4.574,2005,C#,107.005,hip hop
Cherish,Do It To It,3.77155,2006,D,74.007,hip hop
Muse,Supermassive Black Hole,3.54065,2006,G,120.0,rock
Chris Brown,Gimme That,3.113766666666667,2005,B,87.165,hip hop
Infernal,From Paris to Berlin,3.4944333333333333,2004,A,126.069,pop
Cassie,Me & U,3.20355,2006,G#,99.99,pop
E-40,U and Dat (feat. T. Pain & Kandi Girl),3.3786666666666667,2006,F#,99.992,hip hop
The Pussycat Dolls,Beep,3.8226666666666667,2005,G,103.7,pop
Lil Jon,Snap Yo Fingers,4.5731,2006,G#,82.038,hip hop
Armand Van Helden,My My My - Radio Edit,3.1666666666666665,2006,G,127.51,pop
The Notorious B.I.G.,"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster",4.7697666666666665,2005,D,106.328,hip hop
Yung Joc,It's Goin' Down (feat. Nitti),4.030666666666667,2006,C#,84.003,hip hop
Shayne Ward,No Promises,3.717766666666667,2006,E,79.798,pop
Justin Timberlake,My Love (feat. T.I.),4.602666666666667,2006,B,119.952,pop
Nickelback,Savin' Me,3.6553333333333335,2005,D#,164.007,rock
Nelly,Grillz,4.519333333333333,2005,E,82.996,hip hop
Take That,Patience,3.367766666666667,2006,A#,175.788,pop
Fergie,London Bridge,4.021766666666666,2006,C#,90.951,pop
Cascada,Everytime We Touch - Radio Edit,3.3186666666666667,2011,G#,142.019,hip hop
D4L,Laffy Taffy,3.73755,2005,G,77.499,hip hop
LL Cool J,Control Myself,3.89955,2006,A#,120.066,hip hop
Beyoncé,Deja Vu (feat. Jay-Z),4.004666666666667,2007,G,105.253,pop
P!nk,Stupid Girls,3.286216666666667,2006,E,100.04,pop
Eminem,When I'm Gone,4.688666666666666,2005,A#,75.272,hip hop
Kelis,Bossy,4.566216666666667,2006,E,84.021,pop
Bob Sinclar,Love Generation - Radio Edit,3.4602166666666667,2005,C#,128.04,pop
Meck,Thunder in My Heart Again (Radio Edit),3.1633333333333336,2005,D,129.016,Others
Mary J. Blige,Be Without You - Kendu Mix,4.10555,2005,D,146.559,pop
Girls Aloud,Something Kinda Ooooh,3.3598333333333334,2012,B,131.925,pop
Rihanna,Unfaithful,3.7828833333333334,2006,C,144.069,hip hop
Kanye West,Touch The Sky,3.9433333333333334,2005,A,98.56,hip hop
Dem Franchize Boyz,"Lean Wit It, Rock Wit It",3.830216666666667,2006,F,76.035,hip hop
Evanescence,Call Me When You're Sober,3.5784333333333334,2006,G,93.41,metal
Chingy,Pullin' Me Back,3.9022166666666664,2006,G,80.0,hip hop
Nickelback,Far Away,3.96955,2005,F#,132.918,rock
Fall Out Boy,"Dance, Dance",3.0044333333333335,2005,B,114.452,rock
Leona Lewis,A Moment Like This,4.288216666666667,2007,G#,70.543,pop
T.I.,What You Know,4.572216666666667,2006,B,73.464,hip hop
Ludacris,Money Maker,3.84355,2006,C#,78.756,hip hop
Nick Lachey,What's Left Of Me,4.076883333333333,2006,G,149.965,pop
Jibbs,Chain Hang Low,3.459766666666667,2006,E,157.147,hip hop
Arctic Monkeys,When The Sun Goes Down,3.3688833333333332,2006,B,169.152,rock
Rascal Flatts,Life is a Highway,4.6128833333333334,2006,F,103.055,country
Beyoncé,Check On It (feat. Slim Thug),3.5197666666666665,2006,G,166.104,pop
Keyshia Cole,Love,4.25555,2005,F,116.714,hip hop
Lily Allen,Smile,3.28155,2006,F,95.506,pop
Ne-Yo,Sexy Love,3.6808833333333335,2006,G#,94.02,pop
JoJo,Too Little Too Late,3.728,2006,F#,83.001,hip hop
Mary J. Blige,One,4.3411,2005,C,185.888,pop
Bubba Sparxxx,Ms. New Booty,4.210883333333333,2005,C#,129.37,hip hop
Amy Winehouse,You Know I'm No Good,4.2824333333333335,2006,A,103.383,R&B
Rascal Flatts,What Hurts The Most,3.568433333333333,2006,F,136.002,country
Red Hot Chili Peppers,Dani California,4.7026666666666666,2006,C,96.184,rock
Scissor Sisters,I Don't Feel Like Dancin',4.806,2006,G,108.023,pop
Ne-Yo,So Sick,3.4531,2006,F#,92.791,pop
Hinder,Lips Of An Angel,4.350883333333333,2019,D,129.005,pop
The Raconteurs,"Steady, As She Goes",3.5877666666666665,2006,A,123.696,rock
The Fratellis,Chelsea Dagger,3.588433333333333,2006,G,154.514,rock
Fort Minor,Where'd You Go (feat. Holly Brook & Jonah Matranga),3.8644333333333334,2005,C#,179.999,hip hop
The Pussycat Dolls,Stickwitu,3.4584333333333332,2005,A,79.918,pop
Panic! At The Disco,I Write Sins Not Tragedies,3.0931,2005,A,169.961,rock
James Blunt,Goodbye My Lover,4.310883333333333,2005,E,89.567,pop
Christina Aguilera,Ain't No Other Man,3.8151,2006,G,127.91,pop
Westlife,The Rose,3.6517666666666666,2006,A,109.581,pop
Keane,Is It Any Wonder?,3.102883333333333,2006,B,129.352,pop
Orson,No Tomorrow,2.79155,2006,D#,124.082,pop
T-Pain,I'm N Luv (Wit a Stripper) (feat. Mike Jones),4.4222166666666665,2005,G#,145.171,hip hop
KT Tunstall,Black Horse And The Cherry Tree,2.8728833333333332,2005,E,104.833,World/Traditional
Natasha Bedingfield,Unwritten,4.322216666666667,2004,F,100.011,pop
Razorlight,America,4.1626666666666665,2006,D,90.933,rock
James Morrison,You Give Me Something,3.5528833333333334,2006,G,79.753,pop
Snow Patrol,You're All I Have,4.55555,2006,D,132.013,World/Traditional
The Fray,How to Save a Life,4.37555,2005,A#,122.035,pop
Sandi Thom,I Wish I Was a Punk Rocker (with Flowers in My Hair),2.5273333333333334,2006,E,108.102,World/Traditional
My Chemical Romance,Welcome to the Black Parade,5.1851,2006,D,96.95,rock
Razorlight,In The Morning,3.70755,2006,E,124.191,rock
The All-American Rejects,Dirty Little Secret,3.22755,2005,A#,143.853,rock
James Morrison,Wonderful World,3.5011,2006,C#,78.969,pop
Chris Brown,Yo (Excuse Me Miss),3.8173333333333335,2005,E,86.768,hip hop
P!nk,Who Knew,3.4748833333333335,2006,A,140.004,pop
The Kooks,Naive,3.391766666666667,2006,G#,100.304,rock
Leona Lewis,Bleeding Love,4.374433333333333,2007,F,104.036,pop
Rihanna,Umbrella,4.599766666666667,2008,C#,174.028,hip hop
Britney Spears,Gimme More,4.187333333333333,2007,D,113.324,pop
Fergie,Big Girls Don't Cry (Personal),4.468666666666667,2006,G,113.082,pop
Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,3.6568833333333335,2007,C#,105.828,pop
Plain White T's,Hey There Delilah,3.87555,2005,D,103.971,pop
Justin Timberlake,What Goes Around.../...Comes Around (Interlude),7.476216666666667,2006,G,76.0,pop
Gwen Stefani,The Sweet Escape,4.107766666666667,2006,C#,119.961,pop
Timbaland,The Way I Are,2.985333333333333,2007,D#,114.759,hip hop
Nelly Furtado,Say It Right,3.718,2006,C#,116.948,hip hop
Ida Corr,Let Me Think About It,2.5328833333333334,2012,C,129.026,Others
Alex Gaudino,Destination Calabria - Radio Edit,3.7185166666666665,2007,D,128.016,Dance/Electronic
September,Cry for You,3.4966666666666666,2007,A,130.018,pop
Akon,Smack That,3.5393333333333334,2006,F,118.988,pop
Timbaland,Give It To Me,3.9004333333333334,2007,G#,110.621,hip hop
50 Cent,Ayo Technology,4.132433333333333,2007,G#,140.144,hip hop
Eric Prydz,Proper Education - Radio Edit,3.30945,2007,C,124.938,pop
Fedde Le Grand,Put Your Hands Up For Detroit - Radio Edit,2.5088833333333334,2015,G,127.995,pop
Ciara,Like a Boy,3.9508833333333335,2006,C,132.035,pop
Kanye West,Stronger,5.197766666666666,2007,A#,103.992,hip hop
Beyoncé,Beautiful Liar,3.3308833333333334,2007,G#,91.977,pop
Gym Class Heroes,Cupid's Chokehold / Breakfast in America - Radio Mix,3.9528833333333333,2007,C#,79.702,hip hop
Akon,I Wanna Love You,4.117766666666666,2006,C,99.989,pop
Soulja Boy,Crank That (Soulja Boy),3.6988833333333333,2007,C,140.141,hip hop
Fat Joe,Make It Rain,4.12355,2006,B,149.28,hip hop
P!nk,U + Ur Hand,3.5731,2006,C,141.04,pop
Rihanna,Shut Up And Drive,3.538,2008,C#,132.964,hip hop
Lloyd,Get It Shawty,3.4922166666666667,2007,F,128.014,hip hop
Kanye West,Can't Tell Me Nothing,4.526666666666666,2007,F,80.029,hip hop
Camille Jones,The Creeps - Fedde Le Grand Radio Mix,2.538883333333333,2006,F#,127.894,Others
Linkin Park,What I've Done,3.4268833333333335,2007,F,120.119,rock
Keyshia Cole,Last Night,4.2617666666666665,2007,D#,121.006,hip hop
Chris Brown,Kiss Kiss (feat. T-Pain),4.177766666666667,2007,A#,140.043,hip hop
Shop Boyz,Party Like A Rock Star,4.223333333333334,2007,G,144.972,hip hop
Finger Eleven,Paralyzer,3.4684333333333335,2007,B,106.031,rock
Justin Timberlake,Summer Love,4.216216666666667,2006,C,95.802,pop
MiMS,This Is Why I'm Hot,4.228433333333333,2007,G#,80.021,hip hop
Fabolous,Make Me Better,4.226216666666667,2007,B,86.491,hip hop
